PC,Explained Variance,Cumulative
1,0.46983783497932574,0.46983783497932574
2,0.16997818034137,0.6398160153206958
3,0.1142786471604695,0.7540946624811653
4,0.08737877876201626,0.8414734412431816
5,0.0661845121382839,0.9076579533814655
6,0.03308274199131026,0.9407406953727757
7,0.02497145856033814,0.9657121539331138
8,0.01425795900989717,0.979970112943011
9,0.012414407280771455,0.9923845202237824
10,0.005403135230389524,0.9977876554541719
11,0.002212344545828089,1.0
