Country,Signatures,Threshold,Percentage
Austria,34,"13,395",0.25%
Belgium,54,"14,805",0.36%
Bulgaria,63,"11,985",0.53%
Croatia,25,"8,460",0.30%
Cyprus,4,"4,230",0.09%
Czechia,7,"14,805",0.05%
Denmark,8,"9,870",0.08%
Estonia,22,"4,935",0.45%
Finland,54,"9,870",0.55%
France,150,"55,695",0.27%
Germany,152,"67,680",0.22%
Greece,92,"14,805",0.62%
Hungary,26,"14,805",0.18%
Ireland,22,"9,165",0.24%
Italy,274,"53,580",0.51%
Latvia,3,"5,640",0.05%
Lithuania,17,"7,755",0.22%
Luxembourg,7,"4,230",0.17%
Malta,1,"4,230",0.02%
Netherlands,46,"20,445",0.22%
Poland,32,"36,660",0.09%
Portugal,29,"14,805",0.20%
Romania,20,"23,265",0.09%
Slovakia,14,"9,870",0.14%
Slovenia,8,"5,640",0.14%
Spain,152,"41,595",0.37%
Sweden,11,"14,805",0.07%
Total number of signatories,"1,327",,
