Country,Signatures,Threshold,Percentage
Austria,352,"13,395",2.63%
Belgium,426,"14,805",2.88%
Bulgaria,185,"11,985",1.54%
Croatia,217,"8,460",2.57%
Cyprus,63,"4,230",1.49%
Czechia,"1,235","14,805",8.34%
Denmark,141,"9,870",1.43%
Estonia,35,"4,935",0.71%
Finland,385,"9,870",3.90%
France,"1,654","55,695",2.97%
Germany,"1,583","67,680",2.34%
Greece,251,"14,805",1.70%
Hungary,185,"14,805",1.25%
Ireland,216,"9,165",2.36%
Italy,"841,188","53,580","1,569.97%"
Latvia,85,"5,640",1.51%
Lithuania,91,"7,755",1.17%
Luxembourg,49,"4,230",1.16%
Malta,19,"4,230",0.45%
Netherlands,503,"20,445",2.46%
Poland,766,"36,660",2.09%
Portugal,292,"14,805",1.97%
Romania,503,"23,265",2.16%
Slovakia,"5,214","9,870",52.83%
Slovenia,179,"5,640",3.17%
Spain,"12,356","41,595",29.71%
Sweden,414,"14,805",2.80%
Total number of signatories,"868,587",,
