Country,Signatures,Threshold,Percentage
Austria,714,"13,395",5.33%
Belgium,564,"14,805",3.81%
Bulgaria,122,"11,985",1.02%
Croatia,472,"8,460",5.58%
Cyprus,29,"4,230",0.69%
Czechia,289,"14,805",1.95%
Denmark,"56,088","9,870",568.27%
Estonia,74,"4,935",1.50%
Finland,"48,444","9,870",490.82%
France,"230,654","55,695",414.14%
Germany,"122,277","67,680",180.67%
Greece,"7,144","14,805",48.25%
Hungary,302,"14,805",2.04%
Ireland,"29,923","9,165",326.49%
Italy,"13,910","53,580",25.96%
Latvia,54,"5,640",0.96%
Lithuania,97,"7,755",1.25%
Luxembourg,"1,515","4,230",35.82%
Malta,193,"4,230",4.56%
Netherlands,"69,235","20,445",338.64%
Poland,"1,437","36,660",3.92%
Portugal,309,"14,805",2.09%
Romania,901,"23,265",3.87%
Slovakia,"2,143","9,870",21.71%
Slovenia,123,"5,640",2.18%
Spain,"3,014","41,595",7.25%
Sweden,341,"14,805",2.30%
Total number of signatories,"590,368",,
