Country,Signatures,Threshold,Percentage
Austria,"25,136","13,395",187.65%
Belgium,"27,753","14,805",187.46%
Bulgaria,"71,444","11,985",596.11%
Croatia,"9,362","8,460",110.66%
Cyprus,603,"4,230",14.26%
Czechia,"31,722","14,805",214.27%
Denmark,"52,178","9,870",528.65%
Estonia,"5,808","4,935",117.69%
Finland,"82,067","9,870",831.48%
France,"107,672","55,695",193.32%
Germany,"518,534","67,680",766.16%
Greece,"16,713","14,805",112.89%
Hungary,"6,515","14,805",44.01%
Ireland,"5,455","9,165",59.52%
Italy,"83,164","53,580",155.21%
Latvia,"64,162","5,640","1,137.62%"
Lithuania,"49,650","7,755",640.23%
Luxembourg,"1,912","4,230",45.20%
Malta,"4,131","4,230",97.66%
Netherlands,"41,122","20,445",201.13%
Poland,"90,919","36,660",248.01%
Portugal,"8,395","14,805",56.70%
Romania,"23,160","23,265",99.55%
Slovakia,"34,946","9,870",354.06%
Slovenia,"5,536","5,640",98.16%
Spain,"32,615","41,595",78.41%
Sweden,"101,645","14,805",686.56%
Total number of signatories,"1,502,319",,
