Country,Signatures,Threshold,Percentage
Austria,295,"13,395",2.20%
Belgium,213,"14,805",1.44%
Bulgaria,22,"11,985",0.18%
Croatia,32,"8,460",0.38%
Cyprus,10,"4,230",0.24%
Czechia,36,"14,805",0.24%
Denmark,39,"9,870",0.40%
Estonia,6,"4,935",0.12%
Finland,107,"9,870",1.08%
France,689,"55,695",1.24%
Germany,811,"67,680",1.20%
Greece,95,"14,805",0.64%
Hungary,"10,701","14,805",72.28%
Ireland,40,"9,165",0.44%
Italy,597,"53,580",1.11%
Latvia,5,"5,640",0.09%
Lithuania,18,"7,755",0.23%
Luxembourg,11,"4,230",0.26%
Malta,8,"4,230",0.19%
Netherlands,238,"20,445",1.16%
Poland,113,"36,660",0.31%
Portugal,124,"14,805",0.84%
Romania,129,"23,265",0.55%
Slovakia,38,"9,870",0.39%
Slovenia,37,"5,640",0.66%
Spain,272,"41,595",0.65%
Sweden,78,"14,805",0.53%
Total number of signatories,"14,764",,
