Country,Signatures,Threshold,Percentage
Austria,173,"13,395",1.29%
Belgium,108,"14,805",0.73%
Bulgaria,49,"11,985",0.41%
Croatia,60,"8,460",0.71%
Cyprus,29,"4,230",0.69%
Czechia,52,"14,805",0.35%
Denmark,27,"9,870",0.27%
Estonia,16,"4,935",0.32%
Finland,59,"9,870",0.60%
France,162,"55,695",0.29%
Germany,592,"67,680",0.87%
Greece,77,"14,805",0.52%
Hungary,64,"14,805",0.43%
Ireland,55,"9,165",0.60%
Italy,"1,011","53,580",1.89%
Latvia,21,"5,640",0.37%
Lithuania,22,"7,755",0.28%
Luxembourg,9,"4,230",0.21%
Malta,5,"4,230",0.12%
Netherlands,121,"20,445",0.59%
Poland,227,"36,660",0.62%
Portugal,100,"14,805",0.68%
Romania,197,"23,265",0.85%
Slovakia,28,"9,870",0.28%
Slovenia,41,"5,640",0.73%
Spain,391,"41,595",0.94%
Sweden,50,"14,805",0.34%
Total number of signatories,"3,746",,
