Country,Signatures,Threshold,Percentage
Austria,13,"13,395",0.10%
Belgium,13,"14,805",0.09%
Bulgaria,1,"11,985",0.01%
Croatia,3,"8,460",0.04%
Cyprus,10,"4,230",0.24%
Czechia,4,"14,805",0.03%
Denmark,2,"9,870",0.02%
Estonia,3,"4,935",0.06%
Finland,8,"9,870",0.08%
France,43,"55,695",0.08%
Germany,32,"67,680",0.05%
Greece,9,"14,805",0.06%
Hungary,7,"14,805",0.05%
Ireland,7,"9,165",0.08%
Italy,51,"53,580",0.10%
Latvia,1,"5,640",0.02%
Lithuania,2,"7,755",0.03%
Luxembourg,0,"4,230",0.00%
Malta,0,"4,230",0.00%
Netherlands,5,"20,445",0.02%
Poland,5,"36,660",0.01%
Portugal,8,"14,805",0.05%
Romania,11,"23,265",0.05%
Slovakia,1,"9,870",0.01%
Slovenia,0,"5,640",0.00%
Spain,13,"41,595",0.03%
Sweden,2,"14,805",0.01%
Total number of signatories,254,,
