Country,Signatures,Threshold,Percentage
Austria,"4,286","13,395",32.00%
Belgium,"13,942","14,805",94.17%
Bulgaria,227,"11,985",1.89%
Croatia,424,"8,460",5.01%
Cyprus,113,"4,230",2.67%
Czechia,873,"14,805",5.90%
Denmark,"10,473","9,870",106.11%
Estonia,186,"4,935",3.77%
Finland,"3,404","9,870",34.49%
France,"111,106","55,695",199.49%
Germany,"110,205","67,680",162.83%
Greece,"1,619","14,805",10.94%
Hungary,"1,680","14,805",11.35%
Ireland,"1,451","9,165",15.83%
Italy,"33,665","53,580",62.83%
Latvia,182,"5,640",3.23%
Lithuania,260,"7,755",3.35%
Luxembourg,"1,256","4,230",29.69%
Malta,64,"4,230",1.51%
Netherlands,"11,078","20,445",54.18%
Poland,"1,691","36,660",4.61%
Portugal,"1,034","14,805",6.98%
Romania,"1,477","23,265",6.35%
Slovakia,"6,620","9,870",67.07%
Slovenia,"1,767","5,640",31.33%
Spain,"29,564","41,595",71.08%
Sweden,"8,508","14,805",57.47%
Total number of signatories,"357,155",,
