Country,Signatures,Threshold,Percentage
Austria,"25,373","13,395",189.42%
Belgium,"18,313","14,805",123.69%
Bulgaria,"6,552","11,985",54.67%
Croatia,"65,963","8,460",779.70%
Cyprus,"3,228","4,230",76.31%
Czechia,"11,569","14,805",78.14%
Denmark,"19,652","9,870",199.11%
Estonia,"4,894","4,935",99.17%
Finland,"66,565","9,870",674.42%
France,"169,759","55,695",304.80%
Germany,"167,550","67,680",247.56%
Greece,"43,214","14,805",291.89%
Hungary,"16,765","14,805",113.24%
Ireland,"12,885","9,165",140.59%
Italy,"161,168","53,580",300.80%
Latvia,"4,779","5,640",84.73%
Lithuania,"5,693","7,755",73.41%
Luxembourg,"2,821","4,230",66.69%
Malta,"4,278","4,230",101.13%
Netherlands,"34,467","20,445",168.58%
Poland,"43,297","36,660",118.10%
Portugal,"17,824","14,805",120.39%
Romania,"67,402","23,265",289.71%
Slovakia,"7,542","9,870",76.41%
Slovenia,"59,508","5,640","1,055.11%"
Spain,"59,642","41,595",143.39%
Sweden,"23,810","14,805",160.82%
Total number of signatories,"1,124,513",,
