Country,Signatures,Threshold,Percentage
Austria,36,"13,395",0.27%
Belgium,60,"14,805",0.41%
Bulgaria,9,"11,985",0.08%
Croatia,140,"8,460",1.65%
Cyprus,0,"4,230",0.00%
Czechia,107,"14,805",0.72%
Denmark,46,"9,870",0.47%
Estonia,1,"4,935",0.02%
Finland,175,"9,870",1.77%
France,"1,159","55,695",2.08%
Germany,514,"67,680",0.76%
Greece,14,"14,805",0.09%
Hungary,7,"14,805",0.05%
Ireland,149,"9,165",1.63%
Italy,183,"53,580",0.34%
Latvia,10,"5,640",0.18%
Lithuania,7,"7,755",0.09%
Luxembourg,7,"4,230",0.17%
Malta,9,"4,230",0.21%
Netherlands,43,"20,445",0.21%
Poland,9,"36,660",0.02%
Portugal,49,"14,805",0.33%
Romania,89,"23,265",0.38%
Slovakia,4,"9,870",0.04%
Slovenia,107,"5,640",1.90%
Spain,629,"41,595",1.51%
Sweden,31,"14,805",0.21%
Total number of signatories,"3,594",,
