PC,Explained Variance,Cumulative
1,0.4698378349793258,0.4698378349793258
2,0.1699781803413699,0.6398160153206958
3,0.11427864716046937,0.7540946624811651
4,0.0873787787620162,0.8414734412431812
5,0.06618451213828394,0.9076579533814652
6,0.03308274199131034,0.9407406953727755
7,0.024971458560338215,0.9657121539331137
8,0.014257959009897242,0.979970112943011
9,0.012414407280771448,0.9923845202237824
10,0.00540313523038949,0.9977876554541719
11,0.0022123445458280336,1.0
