Country,Signatures,Threshold,Percentage
Austria,100,"13,395",0.75%
Belgium,280,"14,805",1.89%
Bulgaria,21,"11,985",0.18%
Croatia,16,"8,460",0.19%
Cyprus,4,"4,230",0.09%
Czechia,14,"14,805",0.09%
Denmark,25,"9,870",0.25%
Estonia,2,"4,935",0.04%
Finland,62,"9,870",0.63%
France,"12,191","55,695",21.89%
Germany,862,"67,680",1.27%
Greece,107,"14,805",0.72%
Hungary,24,"14,805",0.16%
Ireland,55,"9,165",0.60%
Italy,969,"53,580",1.81%
Latvia,2,"5,640",0.04%
Lithuania,11,"7,755",0.14%
Luxembourg,15,"4,230",0.35%
Malta,2,"4,230",0.05%
Netherlands,144,"20,445",0.70%
Poland,123,"36,660",0.34%
Portugal,48,"14,805",0.32%
Romania,33,"23,265",0.14%
Slovakia,14,"9,870",0.14%
Slovenia,6,"5,640",0.11%
Spain,200,"41,595",0.48%
Sweden,34,"14,805",0.23%
Total number of signatories,"15,364",,
