Country,Signatures,Threshold,Percentage
Austria,194,"13,395",1.45%
Belgium,182,"14,805",1.23%
Bulgaria,84,"11,985",0.70%
Croatia,57,"8,460",0.67%
Cyprus,6,"4,230",0.14%
Czechia,38,"14,805",0.26%
Denmark,45,"9,870",0.46%
Estonia,8,"4,935",0.16%
Finland,81,"9,870",0.82%
France,"4,130","55,695",7.42%
Germany,"3,312","67,680",4.89%
Greece,119,"14,805",0.80%
Hungary,42,"14,805",0.28%
Ireland,68,"9,165",0.74%
Italy,"1,235","53,580",2.30%
Latvia,12,"5,640",0.21%
Lithuania,"1,041","7,755",13.42%
Luxembourg,23,"4,230",0.54%
Malta,13,"4,230",0.31%
Netherlands,127,"20,445",0.62%
Poland,"3,809","36,660",10.39%
Portugal,83,"14,805",0.56%
Romania,68,"23,265",0.29%
Slovakia,70,"9,870",0.71%
Slovenia,44,"5,640",0.78%
Spain,193,"41,595",0.46%
Sweden,70,"14,805",0.47%
Total number of signatories,"15,154",,
