Country,Signatures,Threshold,Percentage
Austria,218,"13,395",1.63%
Belgium,392,"14,805",2.65%
Bulgaria,"1,961","11,985",16.36%
Croatia,294,"8,460",3.48%
Cyprus,101,"4,230",2.39%
Czechia,"1,172","14,805",7.92%
Denmark,178,"9,870",1.80%
Estonia,113,"4,935",2.29%
Finland,144,"9,870",1.46%
France,"2,940","55,695",5.28%
Germany,"1,697","67,680",2.51%
Greece,"1,408","14,805",9.51%
Hungary,93,"14,805",0.63%
Ireland,188,"9,165",2.05%
Italy,699,"53,580",1.30%
Latvia,10,"5,640",0.18%
Lithuania,24,"7,755",0.31%
Luxembourg,60,"4,230",1.42%
Malta,41,"4,230",0.97%
Netherlands,354,"20,445",1.73%
Poland,"5,960","36,660",16.26%
Portugal,519,"14,805",3.51%
Romania,103,"23,265",0.44%
Slovakia,"1,986","9,870",20.12%
Slovenia,833,"5,640",14.77%
Spain,727,"41,595",1.75%
Sweden,256,"14,805",1.73%
Total number of signatories,"22,471",,
