Country,Signatures,Threshold,Percentage
Austria,"1,133","13,395",8.46%
Belgium,"1,336","14,805",9.02%
Bulgaria,492,"11,985",4.11%
Croatia,798,"8,460",9.43%
Cyprus,33,"4,230",0.78%
Czechia,506,"14,805",3.42%
Denmark,793,"9,870",8.03%
Estonia,179,"4,935",3.63%
Finland,703,"9,870",7.12%
France,"3,532","55,695",6.34%
Germany,"7,966","67,680",11.77%
Greece,413,"14,805",2.79%
Hungary,"1,056","14,805",7.13%
Ireland,718,"9,165",7.83%
Italy,"2,197","53,580",4.10%
Latvia,110,"5,640",1.95%
Lithuania,320,"7,755",4.13%
Luxembourg,115,"4,230",2.72%
Malta,27,"4,230",0.64%
Netherlands,"7,137","20,445",34.91%
Poland,"2,593","36,660",7.07%
Portugal,"1,322","14,805",8.93%
Romania,"3,503","23,265",15.06%
Slovakia,452,"9,870",4.58%
Slovenia,712,"5,640",12.62%
Spain,"1,277","41,595",3.07%
Sweden,"1,259","14,805",8.50%
Total number of signatories,"40,682",,
