Country,Signatures,Threshold,Percentage
Austria,177,"13,395",1.32%
Belgium,217,"14,805",1.47%
Bulgaria,50,"11,985",0.42%
Croatia,64,"8,460",0.76%
Cyprus,20,"4,230",0.47%
Czechia,44,"14,805",0.30%
Denmark,43,"9,870",0.44%
Estonia,10,"4,935",0.20%
Finland,118,"9,870",1.20%
France,663,"55,695",1.19%
Germany,769,"67,680",1.14%
Greece,84,"14,805",0.57%
Hungary,106,"14,805",0.72%
Ireland,68,"9,165",0.74%
Italy,745,"53,580",1.39%
Latvia,13,"5,640",0.23%
Lithuania,19,"7,755",0.25%
Luxembourg,48,"4,230",1.13%
Malta,2,"4,230",0.05%
Netherlands,175,"20,445",0.86%
Poland,260,"36,660",0.71%
Portugal,106,"14,805",0.72%
Romania,122,"23,265",0.52%
Slovakia,40,"9,870",0.41%
Slovenia,43,"5,640",0.76%
Spain,316,"41,595",0.76%
Sweden,120,"14,805",0.81%
Total number of signatories,"4,442",,
