Country,Signatures,Threshold,Percentage
Austria,109,"13,395",0.81%
Belgium,160,"14,805",1.08%
Bulgaria,47,"11,985",0.39%
Croatia,76,"8,460",0.90%
Cyprus,27,"4,230",0.64%
Czechia,39,"14,805",0.26%
Denmark,29,"9,870",0.29%
Estonia,18,"4,935",0.36%
Finland,102,"9,870",1.03%
France,361,"55,695",0.65%
Germany,302,"67,680",0.45%
Greece,120,"14,805",0.81%
Hungary,73,"14,805",0.49%
Ireland,50,"9,165",0.55%
Italy,483,"53,580",0.90%
Latvia,11,"5,640",0.20%
Lithuania,25,"7,755",0.32%
Luxembourg,10,"4,230",0.24%
Malta,9,"4,230",0.21%
Netherlands,67,"20,445",0.33%
Poland,215,"36,660",0.59%
Portugal,136,"14,805",0.92%
Romania,160,"23,265",0.69%
Slovakia,50,"9,870",0.51%
Slovenia,33,"5,640",0.59%
Spain,"1,629","41,595",3.92%
Sweden,91,"14,805",0.61%
Total number of signatories,"4,432",,
