Country,Signatures,Threshold,Percentage
Austria,75,"13,395",0.56%
Belgium,121,"14,805",0.82%
Bulgaria,17,"11,985",0.14%
Croatia,21,"8,460",0.25%
Cyprus,6,"4,230",0.14%
Czechia,88,"14,805",0.59%
Denmark,119,"9,870",1.21%
Estonia,4,"4,935",0.08%
Finland,488,"9,870",4.94%
France,240,"55,695",0.43%
Germany,312,"67,680",0.46%
Greece,"14,736","14,805",99.53%
Hungary,"1,178","14,805",7.96%
Ireland,36,"9,165",0.39%
Italy,261,"53,580",0.49%
Latvia,6,"5,640",0.11%
Lithuania,"2,004","7,755",25.84%
Luxembourg,6,"4,230",0.14%
Malta,6,"4,230",0.14%
Netherlands,68,"20,445",0.33%
Poland,419,"36,660",1.14%
Portugal,552,"14,805",3.73%
Romania,126,"23,265",0.54%
Slovakia,16,"9,870",0.16%
Slovenia,19,"5,640",0.34%
Spain,461,"41,595",1.11%
Sweden,25,"14,805",0.17%
Total number of signatories,"21,410",,
