Country,Signatures,Threshold,Percentage
Austria,"2,498","13,395",18.65%
Belgium,"2,880","14,805",19.45%
Bulgaria,"1,005","11,985",8.39%
Croatia,"4,551","8,460",53.79%
Cyprus,419,"4,230",9.91%
Czechia,"1,794","14,805",12.12%
Denmark,"26,569","9,870",269.19%
Estonia,324,"4,935",6.57%
Finland,"27,200","9,870",275.58%
France,"253,815","55,695",455.72%
Germany,"323,390","67,680",477.82%
Greece,"24,249","14,805",163.79%
Hungary,"3,014","14,805",20.36%
Ireland,"37,995","9,165",414.57%
Italy,"44,059","53,580",82.23%
Latvia,715,"5,640",12.68%
Lithuania,646,"7,755",8.33%
Luxembourg,"6,137","4,230",145.08%
Malta,"2,486","4,230",58.77%
Netherlands,"57,657","20,445",282.01%
Poland,"6,067","36,660",16.55%
Portugal,"2,450","14,805",16.55%
Romania,"2,780","23,265",11.95%
Slovakia,"22,850","9,870",231.51%
Slovenia,949,"5,640",16.83%
Spain,"8,571","41,595",20.61%
Sweden,"2,876","14,805",19.43%
Total number of signatories,"867,946",,
