Country,Signatures,Threshold,Percentage
Austria,200,"13,395",1.49%
Belgium,253,"14,805",1.71%
Bulgaria,36,"11,985",0.30%
Croatia,44,"8,460",0.52%
Cyprus,1,"4,230",0.02%
Czechia,17,"14,805",0.11%
Denmark,65,"9,870",0.66%
Estonia,6,"4,935",0.12%
Finland,127,"9,870",1.29%
France,"2,497","55,695",4.48%
Germany,"2,899","67,680",4.28%
Greece,146,"14,805",0.99%
Hungary,36,"14,805",0.24%
Ireland,91,"9,165",0.99%
Italy,"16,817","53,580",31.39%
Latvia,9,"5,640",0.16%
Lithuania,13,"7,755",0.17%
Luxembourg,47,"4,230",1.11%
Malta,15,"4,230",0.35%
Netherlands,192,"20,445",0.94%
Poland,450,"36,660",1.23%
Portugal,106,"14,805",0.72%
Romania,59,"23,265",0.25%
Slovakia,10,"9,870",0.10%
Slovenia,126,"5,640",2.23%
Spain,803,"41,595",1.93%
Sweden,59,"14,805",0.40%
Total number of signatories,"25,124",,
