Country,Signatures,Threshold,Percentage
Austria,209,"13,395",1.56%
Belgium,180,"14,805",1.22%
Bulgaria,29,"11,985",0.24%
Croatia,41,"8,460",0.48%
Cyprus,5,"4,230",0.12%
Czechia,20,"14,805",0.14%
Denmark,38,"9,870",0.39%
Estonia,20,"4,935",0.41%
Finland,129,"9,870",1.31%
France,741,"55,695",1.33%
Germany,"3,258","67,680",4.81%
Greece,95,"14,805",0.64%
Hungary,213,"14,805",1.44%
Ireland,53,"9,165",0.58%
Italy,"2,006","53,580",3.74%
Latvia,12,"5,640",0.21%
Lithuania,24,"7,755",0.31%
Luxembourg,28,"4,230",0.66%
Malta,5,"4,230",0.12%
Netherlands,194,"20,445",0.95%
Poland,126,"36,660",0.34%
Portugal,84,"14,805",0.57%
Romania,96,"23,265",0.41%
Slovakia,55,"9,870",0.56%
Slovenia,21,"5,640",0.37%
Spain,264,"41,595",0.63%
Sweden,57,"14,805",0.39%
Total number of signatories,"8,003",,
