Country,Signatures,Threshold,Percentage
Austria,"1,795","13,395",13.40%
Belgium,"4,235","14,805",28.61%
Bulgaria,131,"11,985",1.09%
Croatia,"1,233","8,460",14.57%
Cyprus,62,"4,230",1.47%
Czechia,"2,473","14,805",16.70%
Denmark,"1,695","9,870",17.17%
Estonia,82,"4,935",1.66%
Finland,"6,609","9,870",66.96%
France,"30,372","55,695",54.53%
Germany,"27,688","67,680",40.91%
Greece,381,"14,805",2.57%
Hungary,354,"14,805",2.39%
Ireland,"4,291","9,165",46.82%
Italy,"16,361","53,580",30.54%
Latvia,85,"5,640",1.51%
Lithuania,77,"7,755",0.99%
Luxembourg,617,"4,230",14.59%
Malta,103,"4,230",2.43%
Netherlands,"73,792","20,445",360.93%
Poland,"3,978","36,660",10.85%
Portugal,662,"14,805",4.47%
Romania,"3,064","23,265",13.17%
Slovakia,"16,318","9,870",165.33%
Slovenia,284,"5,640",5.04%
Spain,"6,384","41,595",15.35%
Sweden,"12,974","14,805",87.63%
Total number of signatories,"216,100",,
