Country,Signatures,Threshold,Percentage
Austria,54,"13,395",0.40%
Belgium,48,"14,805",0.32%
Bulgaria,16,"11,985",0.13%
Croatia,12,"8,460",0.14%
Cyprus,9,"4,230",0.21%
Czechia,15,"14,805",0.10%
Denmark,14,"9,870",0.14%
Estonia,8,"4,935",0.16%
Finland,30,"9,870",0.30%
France,148,"55,695",0.27%
Germany,177,"67,680",0.26%
Greece,82,"14,805",0.55%
Hungary,30,"14,805",0.20%
Ireland,31,"9,165",0.34%
Italy,120,"53,580",0.22%
Latvia,11,"5,640",0.20%
Lithuania,16,"7,755",0.21%
Luxembourg,1,"4,230",0.02%
Malta,3,"4,230",0.07%
Netherlands,59,"20,445",0.29%
Poland,64,"36,660",0.17%
Portugal,26,"14,805",0.18%
Romania,32,"23,265",0.14%
Slovakia,15,"9,870",0.15%
Slovenia,5,"5,640",0.09%
Spain,48,"41,595",0.12%
Sweden,21,"14,805",0.14%
Total number of signatories,"1,095",,
