Country,Signatures,Threshold,Percentage
Austria,156,"13,395",1.16%
Belgium,257,"14,805",1.74%
Bulgaria,17,"11,985",0.14%
Croatia,24,"8,460",0.28%
Cyprus,8,"4,230",0.19%
Czechia,20,"14,805",0.14%
Denmark,44,"9,870",0.45%
Estonia,11,"4,935",0.22%
Finland,76,"9,870",0.77%
France,"5,116","55,695",9.19%
Germany,478,"67,680",0.71%
Greece,26,"14,805",0.18%
Hungary,41,"14,805",0.28%
Ireland,39,"9,165",0.43%
Italy,330,"53,580",0.62%
Latvia,8,"5,640",0.14%
Lithuania,10,"7,755",0.13%
Luxembourg,23,"4,230",0.54%
Malta,9,"4,230",0.21%
Netherlands,135,"20,445",0.66%
Poland,78,"36,660",0.21%
Portugal,33,"14,805",0.22%
Romania,47,"23,265",0.20%
Slovakia,11,"9,870",0.11%
Slovenia,17,"5,640",0.30%
Spain,194,"41,595",0.47%
Sweden,70,"14,805",0.47%
Total number of signatories,"7,278",,
