Country,Signatures,Threshold,Percentage,Petition_ID,Population,GDP,Population_Density,Unemployment_Rate,Tertiary_Enrollment,Life_Expectancy,Urban_Population,Labor_Participation
Republic of Ireland,36073,9165,393.6,eci_table_07,5007069.0,388698711348.0,72,4.93,77.8,82.3,3133123.0,62.1
Italy,77030,53580,143.77,eci_table_07,60297396.0,2001244392042.0,206,9.89,61.9,82.9,42651966.0,49.6
Latvia,7526,5640,133.44,eci_table_07,1912789.0,34117202555.0,30,6.52,88.1,74.7,1304943.0,61.4
Lithuania,14461,7755,186.47,eci_table_07,2786844.0,54219315600.0,43,6.35,72.4,75.7,1891013.0,61.6
Luxembourg,2465,4230,58.27,eci_table_07,645397.0,71104919108.0,242,5.36,19.2,82.1,565488.0,59.3
Malta,2007,4230,47.45,eci_table_07,502653.0,14786156563.0,1380,3.47,54.3,82.3,475902.0,56.5
Netherlands,90413,20445,442.23,eci_table_07,17332850.0,909070395161.0,508,3.2,85.0,81.8,15924729.0,63.6
Poland,143826,36660,392.32,eci_table_07,37970874.0,592164400688.0,124,3.47,67.8,77.6,22796574.0,56.7
Portugal,31585,14805,213.34,eci_table_07,10269417.0,237686075635.0,111,6.33,63.9,81.3,6753579.0,58.8
Romania,38221,23265,164.29,eci_table_07,19356544.0,250077444017.0,84,3.98,49.4,75.4,10468793.0,54.7
Slovakia,18628,9870,188.73,eci_table_07,5454073.0,105422304976.0,114,5.56,46.6,77.2,2930419.0,59.5
Slovenia,6520,5640,115.6,eci_table_07,2087946.0,53742159517.0,103,4.2,78.6,81.0,1144654.0,58.4
Spain,121616,41595,292.38,eci_table_07,47076781.0,1394116310769.0,94,13.96,88.9,83.3,37927409.0,57.5
Sweden,71158,14805,480.63,eci_table_07,10285453.0,530832908738.0,25,6.48,67.0,82.5,9021165.0,64.6
